dp, pp, tp, seql, mbs 1 1 16 2048 1 7238.25 937.625 8175.875
dp, pp, tp, seql, mbs 1 1 16 2048 2 7238.25 1857.625 9095.875
dp, pp, tp, seql, mbs 1 1 16 2048 4 7238.25 3697.625 10935.875
dp, pp, tp, seql, mbs 1 1 16 4096 1 7238.25 1939.25 9177.5
dp, pp, tp, seql, mbs 1 1 16 4096 2 7238.25 3843.25 11081.5
dp, pp, tp, seql, mbs 1 1 16 4096 4 7238.25 7651.25 14889.5
dp, pp, tp, seql, mbs 2 1 16 2048 1 4919.25 937.625 5856.875
dp, pp, tp, seql, mbs 2 1 16 2048 2 4919.25 1857.625 6776.875
dp, pp, tp, seql, mbs 2 1 16 2048 4 4919.25 3697.625 8616.875
dp, pp, tp, seql, mbs 2 1 16 4096 1 4919.25 1939.25 6858.5
dp, pp, tp, seql, mbs 2 1 16 4096 2 4919.25 3843.25 8762.5
dp, pp, tp, seql, mbs 2 1 16 4096 4 4919.25 7651.25 12570.5
dp, pp, tp, seql, mbs 2 2 16 4096 1 2600.25 1085.25 3685.5
dp, pp, tp, seql, mbs 2 2 16 4096 2 2600.25 2135.25 4735.5
dp, pp, tp, seql, mbs 2 2 16 4096 4 2600.25 4235.25 6835.5
dp, pp, tp, seql, mbs 4 2 16 4096 1 2020.5 1085.25 3105.75
dp, pp, tp, seql, mbs 4 2 16 4096 2 2020.5 2135.25 4155.75
dp, pp, tp, seql, mbs 4 2 16 4096 4 2020.5 4235.25 6255.75
dp, pp, tp, seql, mbs 4 4 16 4096 1 1150.875 658.25 1809.125
dp, pp, tp, seql, mbs 4 4 16 4096 2 1150.875 1281.25 2432.125
dp, pp, tp, seql, mbs 4 4 16 4096 4 1150.875 2527.25 3678.125
dp, pp, tp, seql, mbs 8 8 16 4096 1 643.59375 444.75 1088.34375
dp, pp, tp, seql, mbs 8 8 16 4096 2 643.59375 854.25 1497.84375
dp, pp, tp, seql, mbs 8 8 16 4096 4 643.59375 1673.25 2316.84375
dp, pp, tp, seql, mbs 8 16 8 4096 1 924.609375 548.0 1472.609375
dp, pp, tp, seql, mbs 8 16 8 4096 2 924.609375 1025.5 1950.109375
dp, pp, tp, seql, mbs 8 16 8 4096 4 924.609375 1980.5 2905.109375
